file, color error, error
02-2048.exr, 0.00804667 0.00926878 0.00959155 0, 8.969e-03
02-4096.exr, 0.000681987 0.000695779 0.000767935 0, 7.152e-04
barcelona-reference.exr, 0 0 0 0, 0.000e+00
bose-cmj-3969.exr, 0.00062737 0.000623164 0.000659899 0, 6.368e-04
bose-mj-3969.exr, 0.000624489 0.000624473 0.000656321 0, 6.351e-04
bush-s2-2209.exr, 0.007696 0.00887951 0.0091248 0, 8.567e-03
bush-s2-3969.exr, 0.000602009 0.00058671 0.000618389 0, 6.024e-04
cmj2d-2209.exr, 0.00779155 0.00898956 0.0092605 0, 8.681e-03
cmj2d-3969.exr, 0.000651187 0.000636782 0.000669144 0, 6.524e-04
halton-2048.exr, 0.00776712 0.00892693 0.00919813 0, 8.631e-03
halton-2209.exr, 0.00767658 0.00884071 0.00912094 0, 8.546e-03
halton-3969.exr, 0.000593509 0.000577597 0.000615138 0, 5.954e-04
halton-4096.exr, 0.00057352 0.000560875 0.000597449 0, 5.773e-04
mj-2209.exr, 0.00779283 0.00898675 0.00924275 0, 8.674e-03
random-2048.exr, 0.00820576 0.00948852 0.0098199 0, 9.171e-03
random-2209.exr, 0.00808507 0.00933704 0.00961697 0, 9.013e-03
random-3969.exr, 0.000830376 0.000859301 0.00092058 0, 8.701e-04
random-4096.exr, 0.000802998 0.000837404 0.000894251 0, 8.449e-04
sobol-2048.exr, 0.00778606 0.00894746 0.00923105 0, 8.655e-03
sobol-4096.exr, 0.000583426 0.00058401 0.000630718 0, 5.994e-04
stratified-2209.exr, 0.00792894 0.00915745 0.00944595 0, 8.844e-03
stratified-3969.exr, 0.000710632 0.000726723 0.000778009 0, 7.385e-04
