file, color error, error
02-2048.exr, 0.00292679 0.00306614 0.00325021 0, 3.081e-03
02-4096.exr, 0.00133779 0.00145791 0.00157631 0, 1.457e-03
barcelona-reference.exr, 0 0 0 0, 0.000e+00
bose-cmj-3969.exr, 0.000835182 0.000987843 0.00111049 0, 9.778e-04
bose-mj-3969.exr, 0.00080276 0.00097684 0.0010789 0, 9.528e-04
bush-s2-2209.exr, 0.00160536 0.00177162 0.00193836 0, 1.772e-03
bush-s2-3969.exr, 0.000789631 0.000923933 0.00102325 0, 9.123e-04
cmj2d-2209.exr, 0.00188476 0.00215401 0.00238914 0, 2.143e-03
cmj2d-3969.exr, 0.000844387 0.000993902 0.00110809 0, 9.821e-04
halton-2048.exr, 0.00176745 0.00208136 0.00230365 0, 2.051e-03
halton-2209.exr, 0.00161621 0.00189716 0.00209367 0, 1.869e-03
halton-3969.exr, 0.000867808 0.000997998 0.00112395 0, 9.966e-04
halton-4096.exr, 0.000817997 0.00100377 0.00113186 0, 9.845e-04
mj-2209.exr, 0.00202578 0.00218501 0.00236541 0, 2.192e-03
random-2048.exr, 0.00303141 0.00318902 0.0033825 0, 3.201e-03
random-2209.exr, 0.00255212 0.00276711 0.00300804 0, 2.776e-03
random-3969.exr, 0.00142866 0.00149345 0.00158643 0, 1.503e-03
random-4096.exr, 0.00143629 0.0015735 0.00168178 0, 1.564e-03
sobol-2048.exr, 0.00170964 0.00211389 0.00236169 0, 2.062e-03
sobol-4096.exr, 0.000752036 0.000889995 0.00098389 0, 8.753e-04
stratified-2209.exr, 0.00229845 0.00252518 0.00273976 0, 2.521e-03
stratified-3969.exr, 0.0014183 0.00153684 0.00163099 0, 1.529e-03
