file, color error, error
02-128.exr, 0.00164178 0.00141834 0.00137038 0, 1.477e-03
bluespheres-reference.exr, 0 0 0 0, 0.000e+00
bush-s2-121.exr, 0.00138905 0.00115579 0.00110038 0, 1.215e-03
cmj2d-121.exr, 0.00170752 0.00149573 0.00146913 0, 1.557e-03
halton-121.exr, 0.00159302 0.00134258 0.00128726 0, 1.408e-03
halton-128.exr, 0.00148517 0.0012492 0.00119662 0, 1.310e-03
mj-121.exr, 0.00179939 0.00155539 0.00150849 0, 1.621e-03
random-121.exr, 0.00387569 0.00390423 0.00409671 0, 3.959e-03
sobol-128.exr, 0.00128295 0.00106063 0.00100839 0, 1.117e-03
stratified-121.exr, 0.00184067 0.0016031 0.00156463 0, 1.669e-03
