file, color error, error
02-128.exr, 0.0113534 0.0104033 0.0105048 0, 1.075e-02
bluespheres-reference.exr, 0 0 0 0, 0.000e+00
bush-s2-121.exr, 0.00740667 0.00564179 0.00524865 0, 6.099e-03
cmj2d-121.exr, 0.0121661 0.0109448 0.0109572 0, 1.136e-02
halton-121.exr, 0.00856429 0.00636546 0.00580774 0, 6.912e-03
halton-128.exr, 0.00793218 0.00584126 0.00532689 0, 6.367e-03
mj-121.exr, 0.0119764 0.0108713 0.0110085 0, 1.129e-02
random-121.exr, 0.0249736 0.0289559 0.0317854 0, 2.857e-02
sobol-128.exr, 0.00738956 0.00575668 0.00540734 0, 6.185e-03
stratified-121.exr, 0.0119007 0.0106961 0.010757 0, 1.112e-02
