file, color error, error
cornell-02-128.exr, 0.00133304 0.000881494 0.000275308 0, 8.299e-04
cornell-02-256.exr, 0.000834639 0.000541837 0.000158668 0, 5.117e-04
cornell-bose-cmj-121.exr, 0.00122521 0.000817653 0.000261053 0, 7.680e-04
cornell-bush-s2-121.exr, 0.00124822 0.000839871 0.000271109 0, 7.864e-04
cornell-bush-s2-169.exr, 0.000980576 0.00064037 0.000193744 0, 6.049e-04
cornell-bush-s2-289.exr, 0.000704714 0.000446579 0.000119641 0, 4.236e-04
cornell-cmj2d-121.exr, 0.00136768 0.000926387 0.000322328 0, 8.721e-04
cornell-cmj2d-256.exr, 0.000711578 0.000468487 0.000151179 0, 4.437e-04
cornell-halton-121.exr, 0.00124058 0.00082963 0.000275621 0, 7.819e-04
cornell-halton-256.exr, 0.000788181 0.000498674 0.000131759 0, 4.729e-04
cornell-mj-121.exr, 0.00150489 0.00101654 0.000344566 0, 9.553e-04
cornell-mj-256.exr, 0.00084277 0.000551757 0.000168163 0, 5.209e-04
cornell-random-121.exr, 0.00223397 0.00157055 0.00063913 0, 1.481e-03
cornell-random-256.exr, 0.00112765 0.000794468 0.000319906 0, 7.473e-04
cornell-reference-direct.exr, 0 0 0 0, 0.000e+00
cornell-reference-path.exr, 4.48871e-06 3.54654e-06 1.82807e-06 0, 3.288e-06
cornell-sobol-128.exr, 0.00105296 0.000693099 0.000206798 0, 6.510e-04
cornell-sobol-256.exr, 0.000695964 0.000445364 0.000120212 0, 4.205e-04
cornell-stratified-121.exr, 0.0016126 0.0011095 0.000386619 0, 1.036e-03
cornell-stratified-256.exr, 0.0115479 0.00824989 0.00345191 0, 7.750e-03
